genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Reggae,Ballyhoo!,Cheers!,2f471RphxOAMkvJacTEg4Z,20,0.000141,0.299,236720,0.984,0.00814,G,0.663,-3.993,Major,0.099,108.568,3/4,0.4
Reggae,Salmonella Dub,Longtime,2jGyAN1XcnYn4w7JKRQkNZ,43,0.166,0.847,407293,0.452,0.428,E,0.08,-9.93,Major,0.0391,105.03,4/4,0.736
Reggae,Salmonella Dub,For the Love of It,4rqkWp4XfpLQh4Nkn3PjBB,45,0.148,0.788,307187,0.443,0.00313,C#,0.652,-6.8,Major,0.103,80.005,4/4,0.655
Reggae,Slackstring,Sunday Jen,4wSJXijdXqbVWmmINtgbLY,27,0.635,0.469,221640,0.675,0,G,0.19,-5.917,Major,0.0392,172.622,4/4,0.215
Reggae,Marvia Providence,It's Raining,5Mu9D1BCD6eAiyaWlKu65V,25,0.2,0.584,166547,0.885,0,C,0.087,-3.334,Major,0.111,121.616,4/4,0.747
Reggae,The B Foundation,Go Away,2ajNF8hNDKAxlKLB8UW1i0,20,0.0947,0.769,274227,0.589,9.37e-06,F,0.13,-7.82,Minor,0.114,75.981,4/4,0.818
Reggae,Roots of a Rebellion,No Control,1qJne9HF0fFRwbNpapDpBO,19,0.0264,0.908,224240,0.519,0.000329,B,0.289,-8.523,Major,0.0774,125.953,4/4,0.564
Reggae,10 Ft. Ganja Plant,Angel Trumpet,0Nu1KhLcG5cZJmroLQqklE,23,0.156,0.842,199707,0.446,0.673,F,0.13,-8.816,Minor,0.0523,83.275,4/4,0.778
Reggae,Through The Roots,Best Friends,3djA7N73TKBPQBB2fKRnHM,21,0.00216,0.585,203151,0.588,1.62e-06,A,0.121,-9.13,Major,0.0331,79.699,1/4,0.934
Reggae,SDIB,Spreading Culture,2jJmmNLDPfM0gwzRFQpMtB,21,0.0814,0.642,336373,0.706,1.67e-05,A,0.0821,-8.049,Minor,0.127,170.04,4/4,0.463
Reggae,Mat McHugh,Sideways - Extended Version,2STYBg4kPENuifP45gIgu7,28,0.038,0.721,278419,0.742,0.000153,E,0.177,-3.982,Major,0.0504,115.954,4/4,0.524
Reggae,The Expanders,Strugglers' Time,63Dk3AQiHjazQt7UBYXhJh,21,0.108,0.856,197000,0.536,0.000825,G,0.106,-8.348,Minor,0.0525,133.684,4/4,0.961
Reggae,Wookiefoot,What You Mean,2newQGckirvuGV7kahlwAB,20,0.781,0.55,160040,0.54,3.44e-06,G,0.129,-8.751,Major,0.0583,79.819,4/4,0.172
Reggae,Born Jamericans,Venus,3MAv65x4uURZFcJvoIGZKE,26,0.309,0.665,285800,0.564,8.2e-06,A#,0.0734,-6.611,Minor,0.139,89.608,4/4,0.761
Reggae,Through The Roots,Weekend (Acoustic),4VENFINz8xQEzsrKFxIK9T,21,0.197,0.803,232400,0.411,0.000802,G#,0.0712,-10.622,Major,0.0569,153.006,4/4,0.774
Reggae,Beenie Man,Silent Violence,54CKOkvipLjkP2PJxe3ghI,26,0.0155,0.722,210187,0.51,0,C,0.124,-7.404,Major,0.0531,86.903,4/4,0.396
Reggae,Mishka,Back For More,1q27aWTjOxtpqirFXgcuTx,20,0.197,0.774,246627,0.371,0.00028,A,0.0571,-9.026,Minor,0.034,113.023,4/4,0.719
Reggae,Tropidelic,Nawc,2AlIx1bjkERg9exIJHVdIx,19,0.00123,0.59,233733,0.811,0,G,0.687,-8.431,Major,0.0978,101.997,4/4,0.492
Reggae,The Hip Abduction,We are Kings,3AIlimYywtTRwO7q72sZs8,21,0.133,0.476,307867,0.685,0.19,C#,0.112,-8.198,Minor,0.0467,79.309,4/4,0.537
Reggae,KBong,Love Story,6S1jhK83vgq1hUtYDdcSEp,21,0.0518,0.819,278667,0.509,0,G,0.161,-8.659,Major,0.0748,145.899,4/4,0.73
Reggae,10 Ft. Ganja Plant,Let The Music Hit,5sJIMOkHkfxHcPdcMdSKeK,21,0.163,0.717,178480,0.792,0.000653,C,0.328,-3.99,Major,0.0964,87.289,4/4,0.904
Reggae,Mike Pinto,Feet Don't Fail Me Now,2VwXQe6RT3HJaI9CQwatQ3,21,0.108,0.675,231707,0.589,7.25e-05,E,0.106,-7.647,Major,0.0592,144.366,4/4,0.785
Reggae,Beenie Man,Million More,5n5GXmzJWwHkXYIbZFo6fh,38,0.15,0.852,186000,0.669,0,G,0.0684,-6.538,Major,0.183,104.05,4/4,0.676
Reggae,Wheeland Brothers,Lovers Ledge,0HVYczwzDHXg0y8LHe6kRG,21,0.326,0.912,200347,0.527,0.000228,F,0.106,-9.877,Major,0.0403,110.016,4/4,0.647
Reggae,Matisyahu,So High So Low - Live,4ztu24rb6bXTczA0ptywQU,19,0.351,0.403,668773,0.58,0.0167,F,0.703,-9.062,Minor,0.0523,151.182,4/4,0.341
Reggae,Natiruts,A Sombra da Maldade (feat. Toni Garrido) - Ao Vivo,6wtfT3wet2DUK5PYU0XHxx,48,0.0645,0.675,272973,0.85,2.92e-05,C,0.941,-7.087,Minor,0.0288,111.992,4/4,0.772
Reggae,Wookiefoot,Shade,3C9be6otsVawnwMHDuceCN,21,0.0942,0.687,244880,0.736,0.000361,G,0.0703,-6.846,Major,0.028,87.975,4/4,0.604
Reggae,Soul Majestic,I Rise,3EKmeqiIlHleOaLiLEN46M,22,0.232,0.736,296426,0.524,2.66e-05,F,0.0892,-7.509,Minor,0.0804,140.712,4/4,0.835
Reggae,The Expendables,Bridges Burned Dub,6mmlg2xYPH3jnoWzbOxsH9,21,0.0662,0.653,249093,0.464,0.732,C,0.156,-7.222,Major,0.0338,132.973,4/4,0.35
Reggae,Groundation,Father & Child,6kY6bLL1Ze0l1F2VpSl9qJ,19,0.257,0.515,419787,0.419,0.00021,F#,0.179,-7.872,Minor,0.0327,123.423,4/4,0.187
Reggae,Groundation,Humility,6PIar6UMNGfK07UBm994rm,20,0.0207,0.795,335400,0.694,0,C,0.116,-5.783,Minor,0.0559,140.386,4/4,0.593
Reggae,"Lee ""Scratch"" Perry",Enter the Dragon,2ioLJgSUFsGyV9CZ6DNXgP,26,0.0559,0.849,135547,0.548,0.193,G#,0.333,-11.441,Minor,0.151,97.616,4/4,0.208
Reggae,Aidonia,Touch Yuh Tonight (Raw),2o2NqATSotAowi53RN0lyj,24,0.162,0.46,167954,0.873,0,A,0.124,-3.32,Minor,0.306,67.509,5/4,0.542
Reggae,Groundation,Try Me,2Odh58n8B5Ty80BzP5CBRn,19,0.0081,0.666,255027,0.656,0.00131,F#,0.147,-6.865,Major,0.0697,82.21,4/4,0.828
Reggae,The Upsetters,Dracula,0bhQ08qZg4c0PRwRlXfg7f,26,0.135,0.892,173693,0.194,0.885,C#,0.12,-11.51,Minor,0.176,92.462,4/4,0.72
Reggae,Tarrus Riley,Love Created I [Marcus Teaching],7qlJrpxL8dgSZqLB5mozcX,26,0.05,0.822,326773,0.447,0,B,0.373,-7.706,Major,0.321,141.662,4/4,0.843
Reggae,Groundation,Dub Rome,5UPnXpNgiyjKxBG8q64J6I,19,0.0435,0.712,309133,0.611,0.00382,B,0.347,-7.308,Minor,0.151,94.487,4/4,0.74
Reggae,Yellowman,Zungguzungguzunggazeng,27rYpnY5toVsaPmXAqr7ck,28,0.216,0.716,290987,0.532,0.00822,F#,0.0897,-9.793,Minor,0.285,164.568,4/4,0.385
